name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Jake DeBrusk,LW,VAN,118.0,471.1761432896638,81,23,19,24,219,14,66,35,87.4734690714837,55.20553573287984,95.57408086065158,96.25320709107501,45.771486325768834,51.45939731399474,39.438966893810125
Jake Sanderson,D,OTT,119.0,470.4582786389896,67,14,40,22,147,0,29,128,65.30580118060058,91.8330586640174,93.56406329805543,77.59981973482266,24.041903142373393,21.929968998341636,96.18366362077859
Anthony Cirelli,C,TBL,120.0,469.8057842462748,71,23,29,4,125,518,50,47,87.4734690714837,77.329579146598,48.79596349852645,67.3379510576868,96.0485458317954,39.33319563562438,53.48708000456006
Josh Doan,RW,BUF,121.0,469.62112937385325,82,25,27,17,170,4,78,31,90.63105642626348,73.86719348802004,86.87492842532278,86.66485285032336,38.53702435927084,59.21535980738497,33.8307140172678
Anthony Mantha,RW,PIT,122.0,468.46305449178533,81,33,31,13,152,14,52,40,97.22140953254177,80.80023555619604,78.43642772892261,79.79333898393926,45.771486325768834,40.93756092407868,45.5025954403381
Anders Lee,LW,NYI,123.0,468.3403863897505,82,19,23,8,199,65,91,37,79.2016770962513,65.0844245102973,64.29205533698487,93.53678815252567,57.17991406755317,67.25825452659372,41.787272699544445
Kiefer Sherwood,RW,2TM,124.0,468.1786367876295,72,23,13,12,172,16,339,30,87.4734690714837,38.680857135552635,75.75959066531678,87.20866348383171,46.731763167353705,99.86257502848844,32.46171823560251
Robert Thomas,C,STL,125.0,468.1406528866113,64,25,39,14,102,547,10,40,90.63105642626348,91.01382347654186,80.9411014556513,54.93991281452864,96.79525653056345,8.316906742724424,45.5025954403381
Gabriel Vilardi,C,WPG,126.0,468.00994361862945,82,30,39,24,150,42,20,35,95.56666053697583,91.01382347654186,95.57408086065158,79.08611414282434,52.61469110163755,14.715606606188167,39.438966893810125
Tyler Bertuzzi,LW,CHI,127.0,467.70953769247734,79,32,26,21,164,51,55,24,96.73194810860673,71.77080075114107,92.45660918818623,84.43228768294753,54.57916136284379,43.482597600364954,24.256132998386995
Josh Morrissey,D,WPG,128.0,466.8896384967687,77,14,41,16,146,0,36,118,65.30580118060058,92.70990957447268,85.05724001851257,77.07494360119998,24.041903142373393,28.192401601840075,94.50743937776954
Chandler Stephenson,C,SEA,129.0,466.50910287112896,80,16,33,16,93,759,20,56,71.39909207109352,84.01841374023245,85.05724001851257,49.350082478335565,99.51292467883808,14.715606606188167,62.45574327792862
Brock Faber,D,MIN,130.0,464.88217665819974,80,15,36,11,173,0,33,148,68.47468880863289,87.76122047980792,73.09736574713867,87.58073308959234,24.041903142373393,25.6323423331472,98.29392305750736
Nikolaj Ehlers,LW,CAR,131.0,464.30449560653153,82,26,45,29,207,11,21,24,91.8393299186974,95.30709870987829,98.22595570593148,94.87214069593452,44.40277435039596,15.401063227306935,24.256132998386995
Lawson Crouse,LW,UTA,132.0,464.0908077266519,81,24,20,1,141,28,212,52,89.14283912616693,57.4737689817521,35.157280873368165,75.10516062354813,49.92483639991937,98.55722583756071,58.72969588433643
Ryan Nugent-Hopkins,C,EDM,133.0,463.68627902245913,72,20,36,29,133,172,25,31,81.62171828826857,87.76122047980792,98.22595570593148,71.45795919172684,72.18817004881438,18.600541290642127,33.8307140172678
Ryan Leonard,RW,WSH,134.0,461.41078130782853,75,20,25,14,153,6,124,25,81.62171828826857,69.56431731570507,80.9411014556513,80.26459658496074,40.50640791579477,82.93083022494116,25.58180952250701
Carter Verhaeghe,C,FLA,135.0,460.7518987487923,77,25,30,11,187,39,68,22,90.63105642626348,79.14376649880474,73.09736574713867,91.4220757009665,52.137654442295684,52.866397304056335,21.45358262926686
Lane Hutson,D,MTL,136.0,460.62765866883166,82,12,66,20,124,0,31,137,57.777336955565886,99.30313446904788,91.1714957573443,66.966278693717,24.041903142373393,24.036248433210076,97.33126121757317
Frank Nazar,C,CHI,137.0,460.1389336615974,66,15,26,12,138,401,37,43,68.47468880863289,71.77080075114107,75.75959066531678,73.64403140994534,92.12621909676608,29.00589324820026,49.35770968159492
Andrew Copp,C,DET,138.0,459.4889368650775,79,9,34,8,115,537,44,64,47.63548442481157,85.33370332273623,64.29205533698487,62.424349393129454,96.55253133056786,34.019930701646274,69.2308823552013
